leaf_id	og_index	superkingdom	kingdom	phylum	class	order	family	genus	species	start_win	end_win	strand_win	start_target	end_target
62	62	Bacteria	unclassified	Bacillota	Bacilli	Lactobacillales	Enterococcaceae	Enterococcus	Enterococcus sp.	326193	370222	-	346193	350222
63	63	Bacteria	unclassified	Bacillota	Bacilli	Lactobacillales	Enterococcaceae	Enterococcus	Enterococcus italicus	2020210	2064203	-	2040210	2044203
64	64	Bacteria	unclassified	Bacillota	Bacilli	Lactobacillales	Enterococcaceae	Vagococcus	Vagococcus sp.	0	26253	-	2224	6253
65	65	Bacteria	unclassified	Bacillota	Bacilli	Lactobacillales	Streptococcaceae	Streptococcus	Streptococcus saliviloxodontae	0	40143	-	16033	20143
66	66	Bacteria	unclassified	Bacillota	Bacilli	Lactobacillales	Enterococcaceae	Enterococcus	Enterococcus asini	242435	286425	+	262435	266425
67	67	Bacteria	unclassified	Bacillota	Bacilli	Lactobacillales	Streptococcaceae	Streptococcus	Streptococcus oralis	92612	127444	-	112612	116722
68	68	Bacteria	unclassified	Bacillota	Bacilli	Bacillales	Bacillaceae	Halolactibacillus	Halolactibacillus miurensis	48120	92049	+	68120	72131
69	69	Bacteria	unclassified	Bacillota	Bacilli	Lactobacillales	Streptococcaceae	Streptococcus	Streptococcus agalactiae	1087529	1131663	-	1107529	1111663
70	70	Bacteria	unclassified	Bacillota	Bacilli	Lactobacillales	Streptococcaceae	Streptococcus	Streptococcus suis	0	31721	-	7617	11721
71	71	Bacteria	unclassified	Bacillota	Bacilli	Lactobacillales	Aerococcaceae	unclassified	Aerococcaceae bacterium NML180378	26010	70006	+	46010	50006
72	72	unclassified	unclassified	unclassified	unclassified	unclassified	unclassified	unclassified	unidentified	0	24150	+	13656	17748
73	73	Bacteria	unclassified	Bacillota	Bacilli	Lactobacillales	Streptococcaceae	Streptococcus	Streptococcus salivarius	293070	337162	+	313070	317162
74	74	Bacteria	unclassified	Bacillota	Bacilli	Lactobacillales	Enterococcaceae	Enterococcus	Enterococcus ratti	89749	133769	-	109749	113769
75	75	Bacteria	unclassified	Bacillota	Bacilli	Lactobacillales	Carnobacteriaceae	Carnobacterium	Carnobacterium sp. PL26RED25	2161	46175	-	22161	26175
76	76	Bacteria	unclassified	Bacillota	Bacilli	Lactobacillales	Streptococcaceae	Streptococcus	Streptococcus periodonticum	236609	280677	-	256609	260677
77	77	Bacteria	unclassified	Bacillota	Bacilli	Lactobacillales	Streptococcaceae	Streptococcus	Streptococcus dysgalactiae	887099	931203	+	907099	911203
78	78	Bacteria	unclassified	Bacillota	Bacilli	Lactobacillales	Enterococcaceae	Vagococcus	Vagococcus luciliae	1154399	1198407	+	1174399	1178407
79	79	Bacteria	unclassified	Bacillota	Bacilli	Lactobacillales	Enterococcaceae	Enterococcus	Enterococcus villorum	28671	72691	+	48671	52691
80	80	Bacteria	unclassified	Bacillota	Bacilli	Lactobacillales	Enterococcaceae	Enterococcus	Enterococcus durans	61865	105882	-	81865	85882
81	81	Bacteria	unclassified	Bacillota	Bacilli	Lactobacillales	Carnobacteriaceae	Dolosigranulum	Dolosigranulum pigrum	776441	820440	+	796441	800440
82	82	Bacteria	unclassified	Bacillota	Bacilli	Lactobacillales	Enterococcaceae	Vagococcus	Vagococcus teuberi	654375	698383	+	674375	678383
83	83	Bacteria	unclassified	Bacillota	Bacilli	Lactobacillales	Enterococcaceae	Vagococcus	Vagococcus fluvialis	49000	93029	+	69000	73029
84	84	unclassified	unclassified	unclassified	unclassified	unclassified	unclassified	unclassified	unidentified					
85	85	Bacteria	unclassified	Bacillota	Bacilli	Lactobacillales	Streptococcaceae	Streptococcus	Streptococcus pyogenes	220120	264224	-	240120	244224
86	86	unclassified	unclassified	unclassified	unclassified	unclassified	unclassified	unclassified	unidentified					
87	87	unclassified	unclassified	unclassified	unclassified	unclassified	unclassified	unclassified	unidentified					
88	88	unclassified	unclassified	unclassified	unclassified	unclassified	unclassified	unclassified	unidentified					
89	89	Bacteria	unclassified	Bacillota	Bacilli	Lactobacillales	Enterococcaceae	Enterococcus	Enterococcus faecalis	0	15499	+	11958	15499
90	90	unclassified	unclassified	unclassified	unclassified	unclassified	unclassified	unclassified	unidentified					
91	91	Bacteria	unclassified	Bacillota	Bacilli	Lactobacillales	Enterococcaceae	Enterococcus	Enterococcus hirae	57426	101437	+	77426	81437
92	92	unclassified	unclassified	unclassified	unclassified	unclassified	unclassified	unclassified	unidentified					
93	93	unclassified	unclassified	unclassified	unclassified	unclassified	unclassified	unclassified	unidentified					
94	94	Bacteria	unclassified	Bacillota	Bacilli	Lactobacillales	Enterococcaceae	Vagococcus	Vagococcus penaei	982014	1026013	-	1002014	1006013
95	95	unclassified	unclassified	unclassified	unclassified	unclassified	unclassified	unclassified	unidentified					
96	96	Bacteria	unclassified	Bacillota	Bacilli	Lactobacillales	Streptococcaceae	Streptococcus	Streptococcus equi	1379637	1423702	-	1399637	1403702
97	97	unclassified	unclassified	unclassified	unclassified	unclassified	unclassified	unclassified	unidentified					
98	98	unclassified	unclassified	unclassified	unclassified	unclassified	unclassified	unclassified	unidentified					
99	99	unclassified	unclassified	unclassified	unclassified	unclassified	unclassified	unclassified	unidentified					
100	100	unclassified	unclassified	unclassified	unclassified	unclassified	unclassified	unclassified	unidentified					
