domain_id	Clan_pfam	Function_pfam	Gene_pfam	alignment_length	bit_score
PF02152	CL0334	Dihydroneopterin aldolase	FolB	113.0	123.06
PF00689		Cation transporting ATPase, C-terminus	Cation_ATPase_C	185.0	162.71
PF03477		ATP cone domain	ATP-cone	95.0	71.39
PF02690		Na+/Pi-cotransporter	Na_Pi_cotrans	267.0	113.15
PF07470	CL0059	Glycosyl Hydrolase Family 88	Glyco_hydro_88	229.0	39.14
PF00733	CL0039	Asparagine synthase	Asn_synthase	372.0	285.5
PF04066		Multiple resistance and pH regulation protein F (MrpF / PhaF)	MrpF_PhaF	53.0	66.06
PF13244		MBH, subunit D	MbhD	67.0	81.41
PF12282	CL0161	Histidine kinase PdtaS, GAF domain	PdtaS_GAF	142.0	90.4
PF08540	CL0046	Hydroxymethylglutaryl-coenzyme A synthase C terminal	HMG_CoA_synt_C	214.0	38.1
PF01476	CL0187	LysM domain	LysM	44.0	49.54
PF04228	CL0126	Putative neutral zinc metallopeptidase	Zn_peptidase	307.0	319.46
PF13145	CL0487	PPIC-type PPIASE domain	Rotamase_2	128.0	39.03
PF13353	CL0344	4Fe-4S single cluster domain	Fer4_12	140.0	185.31
PF03632	CL0059	Glycosyl hydrolase family 65 central catalytic domain	Glyco_hydro_65m	380.0	405.16
PF07261		Replication initiation and membrane attachment	DnaB_2	72.0	66.78
PF01694	CL0207	Rhomboid family	Rhomboid	144.0	129.45
PF06207		Protein of unknown function (DUF1002)	DUF1002	227.0	132.78
PF13177	CL0023	DNA polymerase III, delta subunit	DNA_pol3_delta2	160.0	160.97
PF07568	CL0025	Histidine kinase	HisKA_2	75.0	72.37
PF17770		Ribonuclease J C-terminal domain	RNase_J_C	102.0	111.94
PF00456	CL0254	Transketolase, thiamine diphosphate binding domain	Transketolase_N	334.0	480.64
PF10763	CL0178	Protein of unknown function (DUF2584)	DUF2584	82.0	110.45
PF00266	CL0061	Aminotransferase class-V	Aminotran_5	350.0	141.59
PF00282	CL0061	Pyridoxal-dependent decarboxylase conserved domain	Pyridoxal_deC	132.0	51.11
PF13424	CL0020	Tetratricopeptide repeat	TPR_12	61.0	21.99
PF00108	CL0046	Thiolase, N-terminal domain	Thiolase_N	260.0	344.77
PF13411	CL0123	MerR HTH family regulatory protein	MerR_1	69.0	62.98
PF00122		E1-E2 ATPase	E1-E2_ATPase	196.0	189.51
PF02737	CL0063	3-hydroxyacyl-CoA dehydrogenase, NAD binding domain	3HCDH_N	180.0	207.95
PF00294	CL0118	pfkB family carbohydrate kinase	PfkB	324.0	117.79
PF02457		DisA bacterial checkpoint controller nucleotide-binding	DAC	120.0	147.73
PF00886		Ribosomal protein S16	Ribosomal_S16	59.0	92.14
PF01634	CL0177	ATP phosphoribosyltransferase	HisG	152.0	181.07
PF08239	CL0010	Bacterial SH3 domain	SH3_3	53.0	38.76
PF02861		Clp amino terminal domain, pathogenicity island component	Clp_N	53.0	28.8
PF01032	CL0142	FecCD transport family	FecCD	308.0	320.34
PF06941	CL0137	5' nucleotidase, deoxy (Pyrimidine), cytosolic type C protein (NT5C)	NT5C	175.0	138.99
PF00731	CL0224	AIR carboxylase	AIRC	144.0	183.42
PF05015	CL0136	RelE-like toxin of type II toxin-antitoxin system HigB	HigB-like_toxin	101.0	42.48
PF01979	CL0036	Amidohydrolase family	Amidohydro_1	284.0	115.34
PF20938	CL0103	DUF2264 C-terminal domain	DUF2264_C	206.0	76.3
PF04167		Protein of unknown function (DUF402)	DUF402	66.0	67.13
PF00356	CL0123	Bacterial regulatory proteins, lacI family	LacI	46.0	66.0
PF10662	CL0023	Ethanolamine utilisation - propanediol utilisation	PduV-EutP	143.0	189.05
PF08245	CL0023	Mur ligase middle domain	Mur_ligase_M	229.0	43.55
PF14667	CL0222	Polysaccharide biosynthesis C-terminal domain	Polysacc_synt_C	149.0	87.16
PF09285	CL0021	Elongation factor P, C-terminal	Elong-fact-P_C	56.0	83.09
PF07859	CL0028	alpha/beta hydrolase fold	Abhydrolase_3	223.0	59.27
PF00444		Ribosomal protein L36	Ribosomal_L36	37.0	72.29
PF07355		Glycine/sarcosine/betaine reductase selenoprotein B (GRDB)	GRDB	171.0	108.36
PF21445	CL0023	ADDB, N-terminal	ADDB_N	261.0	92.49
PF00237		Ribosomal protein L22p/L17e	Ribosomal_L22	104.0	144.78
PF08673	CL0637	Phosphoserine phosphatase RsbU, N-terminal domain	RsbU_N	75.0	99.66
PF08191	CL0159	LRR adjacent	LRR_adjacent	59.0	59.96
PF03610	CL0245	PTS system fructose IIA component	EIIA-man	117.0	32.09
PF02272		DHHA1 domain	DHHA1	135.0	42.66
PF12799	CL0022	Leucine Rich repeats (2 copies)	LRR_4	114.0	14.69
PF04011		LemA family	LemA	151.0	178.22
PF04298	CL0126	Putative neutral zinc metallopeptidase	Zn_peptidase_2	217.0	299.16
PF04879	CL0344	Molybdopterin oxidoreductase Fe4S4 domain	Molybdop_Fe4S4	55.0	69.51
PF03577	CL0052	Peptidase family C69	Peptidase_C69	395.0	562.83
PF01709		TACO1/YebC second and third domain	Transcrip_reg	158.0	207.24
PF00271	CL0023	Helicase conserved C-terminal domain	Helicase_C	109.0	71.55
PF04240		Carotenoid biosynthesis protein	Caroten_synth	199.0	122.44
PF12344	CL0023	Ultra-violet resistance protein B	UvrB	43.0	85.87
PF02852	CL0608	Pyridine nucleotide-disulphide oxidoreductase, dimerisation domain	Pyr_redox_dim	110.0	128.65
PF00571		CBS domain	CBS	112.0	18.7
PF04070		Domain of unknown function (DUF378)	DUF378	60.0	86.36
PF01980	CL0105	tRNA-methyltransferase O	TrmO	116.0	75.04
PF08858		IDEAL domain	IDEAL	35.0	34.07
PF16360		GTP-binding GTPase Middle Region	GTP-bdg_M	79.0	116.37
PF00152	CL0040	tRNA synthetases class II (D, K and N) 	tRNA-synt_2	341.0	312.69
PF14520	CL0198	Helix-hairpin-helix domain	HHH_5	55.0	28.1
PF03143	CL0740	Elongation factor Tu C-terminal domain	GTP_EFTU_D3	96.0	131.41
PF13808		DDE_Tnp_1-associated	DDE_Tnp_1_assoc	82.0	64.23
PF14234		Domain of unknown function (DUF4336)	DUF4336	256.0	45.03
PF00239		Resolvase, N terminal domain	Resolvase	135.0	145.41
PF13507	CL0014	CobB/CobQ-like glutamine amidotransferase domain	GATase_5	245.0	78.03
PF13276	CL0123	HTH-like domain	HTH_21	58.0	45.95
PF00366	CL0021	Ribosomal protein S17	Ribosomal_S17	68.0	109.21
PF14437	CL0109	MafB19-like deaminase	MafB19-deam	149.0	129.77
PF02878	CL0754	Phosphoglucomutase/phosphomannomutase, alpha/beta/alpha domain I	PGM_PMM_I	138.0	149.31
PF05958	CL0063	tRNA (Uracil-5-)-methyltransferase	tRNA_U5-meth_tr	363.0	82.67
PF12320		Type 5 capsule protein repressor C-terminal domain	SbcD_C	90.0	57.74
PF12704	CL0199	MacB-like periplasmic core domain	MacB_PCD	195.0	30.03
PF07969	CL0036	Amidohydrolase family	Amidohydro_3	490.0	294.83
PF05157		MshEN domain	MshEN	108.0	93.42
PF17802	CL0287	Prealbumin-like fold domain	SpaA	68.0	72.98
PF15919	CL0057	HicB_like antitoxin of bacterial toxin-antitoxin system	HicB_lk_antitox	115.0	48.7
PF09719	CL0317	Putative redox-active protein (C_GCAxxG_C_C)	C_GCAxxG_C_C	120.0	95.0
PF20037		Family of unknown function (DUF6440)	DUF6440	50.0	85.12
PF00890	CL0063	FAD binding domain	FAD_binding_2	459.0	147.96
PF03636	CL0103	Glycosyl hydrolase family 65, N-terminal domain 	Glyco_hydro_65N	237.0	181.17
PF10437	CL0233	Bacterial lipoate protein ligase C-terminus	Lip_prot_lig_C	85.0	91.58
PF06923		Glucitol operon activator protein (GutM)	GutM	108.0	105.16
PF13735	CL0237	tRNA nucleotidyltransferase domain 2 putative	tRNA_NucTran2_2	149.0	133.57
PF07498	CL0306	Rho termination factor, N-terminal domain	Rho_N	43.0	42.22
PF13333	CL0219	Integrase core domain	rve_2	56.0	66.12
PF03992	CL0032	Antibiotic biosynthesis monooxygenase	ABM	77.0	61.48
PF00551		Formyl transferase	Formyl_trans_N	177.0	171.19
PF00380	CL0329	Ribosomal protein S9/S16	Ribosomal_S9	121.0	168.69
PF04828	CL0080	Glutathione-dependent formaldehyde-activating enzyme	GFA	89.0	33.81
PF11495	CL0479	Archaeal transcriptional regulator TrmB	Regulator_TrmB	149.0	24.07
PF01553	CL0228	Acyltransferase	Acyltransferase	130.0	59.9
PF00185	CL0063	Aspartate/ornithine carbamoyltransferase, Asp/Orn binding domain	OTCace	158.0	166.06
PF00872	CL0219	Transposase, Mutator family	Transposase_mut	94.0	67.38
PF03633	CL0749	Glycosyl hydrolase family 65, C-terminal domain 	Glyco_hydro_65C	63.0	61.48
PF19295		SufBD protein N-terminal region	SufBD_N	86.0	41.25
PF07997		Protein of unknown function (DUF1694)	DUF1694	121.0	89.64
PF00676	CL0254	Dehydrogenase E1 component	E1_dh	300.0	282.67
PF14133		Domain of unknown function (DUF4300)	DUF4300	241.0	265.45
PF00857		Isochorismatase family	Isochorismatase	148.0	79.15
PF14526	CL0319	Integron-associated effector binding protein	Cass2	152.0	97.94
PF18708		MapZ extracellular C-terminal domain 2	MapZ_C2	94.0	128.33
PF06081	CL0307	Aromatic acid exporter family member 1	ArAE_1	141.0	121.03
PF08207	CL0010	Elongation factor P (EF-P) KOW-like domain	EFP_N	58.0	85.39
PF01960	CL0635	ArgJ family	ArgJ	382.0	476.94
PF02664	CL0094	S-Ribosylhomocysteinase (LuxS)	LuxS	145.0	165.08
PF06570	CL0112	Protein of unknown function (DUF1129)	DUF1129	198.0	24.2
PF13561	CL0063	Enoyl-(Acyl carrier protein) reductase	adh_short_C2	248.0	151.49
PF00753	CL0381	Metallo-beta-lactamase superfamily	Lactamase_B	177.0	53.17
PF12354	CL0220	Bacterial adhesion/invasion protein N terminal	Internalin_N	47.0	60.83
PF03928	CL0161	Haem degrading protein HbpS-like	HbpS-like	128.0	114.28
PF04539	CL0123	Sigma-70 region 3	Sigma70_r3	77.0	56.19
PF07681	CL0131	DoxX	DoxX	81.0	59.45
PF04172	CL0064	LrgB-like family 	LrgB	214.0	226.29
PF01546	CL0105	Peptidase family M20/M25/M40	Peptidase_M20	298.0	27.84
PF04055	CL0036	Radical SAM superfamily	Radical_SAM	168.0	98.27
PF00550	CL0314	Phosphopantetheine attachment site	PP-binding	70.0	37.36
PF02631		RecX family	RecX	194.0	64.03
PF02278	CL0103	Polysaccharide lyase family 8, super-sandwich domain	Lyase_8	275.0	207.69
PF04270		Streptococcal histidine triad protein 	Strep_his_triad	50.0	62.73
PF21256	CL0174	Tetracyclin repressor-like, C-terminal domain	TetR_C_5-like	110.0	42.88
PF09359	CL0273	VTC domain	VTC	229.0	164.65
PF06130		Phosphate propanoyltransferase	PTAC	68.0	82.67
PF05368	CL0063	NmrA-like family	NmrA	223.0	58.92
PF12710	CL0137	haloacid dehalogenase-like hydrolase	HAD	169.0	96.21
PF01925	CL0292	Sulfite exporter TauE/SafE	TauE	246.0	109.05
PF14436	CL0695	Bacterial EndoU nuclease	EndoU_bacteria	124.0	106.84
PF01938	CL0021	TRAM domain	TRAM	57.0	35.29
PF03721	CL0063	UDP-glucose/GDP-mannose dehydrogenase family, NAD binding domain	UDPG_MGDP_dh_N	175.0	90.58
PF07521	CL0398	Zn-dependent metallo-hydrolase RNA specificity domain	RMMBL	64.0	38.29
PF17783	CL0123	CvfB-like winged helix domain	CvfB_WH	59.0	74.02
PF12773	CL0167	Double zinc ribbon	DZR	58.0	23.22
PF01717	CL0036	Cobalamin-independent synthase, Catalytic domain	Meth_synt_2	210.0	19.48
PF13304	CL0023	AAA domain, putative AbiEii toxin, Type IV TA system	AAA_21	72.0	14.18
PF00664	CL0241	ABC transporter transmembrane region	ABC_membrane	272.0	182.64
PF18449	CL0598	Delta endotoxin 	Endotoxin_C2	56.0	20.44
PF00333	CL0196	Ribosomal protein S5, N-terminal domain	Ribosomal_S5	65.0	112.32
PF02595		Glycerate kinase family	Gly_kinase	373.0	449.32
PF20791	CL0050	Acyl-ACP thioesterase C-terminal domain	Acyl-ACP_TE_C	96.0	118.73
PF02310		B12 binding domain	B12-binding	114.0	59.82
PF00756	CL0028	Putative esterase	Esterase	252.0	84.71
PF13936	CL0123	Helix-turn-helix domain	HTH_38	44.0	47.54
PF02388	CL0257	FemAB family	FemAB	390.0	405.52
PF07314		Protein of unknown function (DUF1461)	DUF1461	177.0	155.84
PF02525	CL0042	Flavodoxin-like fold	Flavodoxin_2	185.0	137.9
PF12169	CL0604	DNA polymerase III subunits gamma and tau domain III	DNA_pol3_gamma3	137.0	37.59
PF21191	CL0021	CvfB first S1-like domain	CvfB_1st	62.0	109.7
PF00874	CL0166	PRD domain	PRD	90.0	38.83
PF03129	CL0458	Anticodon binding domain	HGTP_anticodon	92.0	88.31
PF02463	CL0023	RecF/RecN/SMC N terminal domain	SMC_N	799.0	33.66
PF06855		YozE SAM-like fold	YozE_SAM_like	67.0	85.63
PF03334		Na+/H+ antiporter subunit	PhaG_MnhG_YufB	80.0	98.92
PF08281	CL0123	Sigma-70, region 4	Sigma70_r4_2	54.0	60.06
PF00120	CL0286	Glutamine synthetase, catalytic domain	Gln-synt_C	336.0	471.95
PF00293	CL0261	NUDIX domain	NUDIX	125.0	37.59
PF11392		Protein of unknown function (DUF2877)	DUF2877	106.0	93.1
PF00238		Ribosomal protein L14p/L23e	Ribosomal_L14	122.0	183.53
PF01943	CL0222	Polysaccharide biosynthesis protein	Polysacc_synt	313.0	98.12
PF01592	CL0233	NifU-like N terminal domain	NifU_N	121.0	114.51
PF03816		LytR_cpsA_psr family	LytR_cpsA_psr	145.0	116.8
PF00113	CL0036	Enolase, C-terminal TIM barrel domain	Enolase_C	295.0	434.21
PF00384		Molybdopterin oxidoreductase	Molybdopterin	425.0	234.18
PF01887		SAM hydroxide adenosyltransferase N-terminal domain	SAM_HAT_N	150.0	177.58
PF00364	CL0105	Biotin-requiring enzyme	Biotin_lipoyl	74.0	64.16
PF04203		Sortase domain	Sortase	126.0	88.12
PF00126	CL0123	Bacterial regulatory helix-turn-helix protein, lysR family	HTH_1	60.0	63.81
PF02423	CL0063	Ornithine cyclodeaminase/mu-crystallin family	OCD_Mu_crystall	320.0	248.03
PF02518	CL0025	Histidine kinase-, DNA gyrase B-, and HSP90-like ATPase	HATPase_c	103.0	39.97
PF01081	CL0036	KDPG and KHG aldolase	Aldolase	195.0	147.14
PF01751	CL0413	Toprim domain	Toprim	113.0	64.89
PF00215	CL0036	Orotidine 5'-phosphate decarboxylase / HUMPS family	OMPdecase	221.0	222.54
PF07729	CL0388	FCD domain	FCD	123.0	82.34
PF14693		Ribosomal protein TL5, C-terminal domain	Ribosomal_TL5_C	84.0	85.33
PF00465	CL0224	Iron-containing alcohol dehydrogenase 	Fe-ADH	356.0	358.33
PF04024		PspC domain	PspC	58.0	60.84
PF02287		Dehydratase small subunit	Dehydratase_SU	133.0	197.07
PF02151	CL0671	UvrB/uvrC motif	UVR	35.0	36.13
PF08240	CL0296	Alcohol dehydrogenase GroES-like domain	ADH_N	122.0	100.93
PF00392	CL0123	Bacterial regulatory proteins, gntR family	GntR	64.0	59.15
PF01791	CL0036	DeoC/LacD family aldolase	DeoC	212.0	72.84
PF01361	CL0082	Tautomerase enzyme	Tautomerase	56.0	51.49
PF03061	CL0050	Thioesterase superfamily	4HBT	76.0	56.81
PF00361	CL0425	Proton-conducting membrane transporter	Proton_antipo_M	298.0	235.88
PF13519	CL0128	von Willebrand factor type A domain	VWA_2	132.0	27.79
PF07700	CL0210	Haem-NO-binding	HNOB	159.0	138.14
PF13303	CL0493	Phosphotransferase system, EIIC	PTS_EIIC_2	330.0	323.19
PF13416	CL0177	Bacterial extracellular solute-binding protein	SBP_bac_8	306.0	149.88
PF02780	CL0591	Transketolase, C-terminal domain	Transketolase_C	124.0	139.49
PF08841	CL0108	Diol dehydratase reactivase ATPase-like domain	DDR	328.0	533.32
PF03118	CL0198	Bacterial RNA polymerase, alpha chain C terminal domain	RNA_pol_A_CTD	67.0	101.35
PF10022	CL0059	Uncharacterized protein conserved in bacteria (DUF2264)	DUF2264	341.0	344.45
PF02661		Fic/DOC family	Fic	100.0	57.82
PF01022	CL0123	Bacterial regulatory protein, arsR family	HTH_5	47.0	54.76
PF02132	CL0229	RecR, Cys4-zinc finger motif	RecR_ZnF	21.0	37.64
PF00367		phosphotransferase system, EIIB	PTS_EIIB	33.0	52.42
PF00232	CL0036	Glycosyl hydrolase family 1	Glyco_hydro_1	474.0	551.43
PF03099	CL0040	Biotin/lipoate A/B protein ligase family	BPL_LplA_LipB	114.0	37.44
PF00501	CL0378	AMP-binding enzyme	AMP-binding	348.0	250.3
PF16326		ABC transporter C-terminal domain	ABC_tran_CTD	71.0	26.69
PF02627	CL0423	Carboxymuconolactone decarboxylase family	CMD	85.0	32.77
PF07849		Protein of unknown function (DUF1641)	DUF1641	39.0	49.09
PF20501		MBH, subunit E	MbhE	68.0	35.4
PF12838	CL0344	4Fe-4S dicluster domain	Fer4_7	107.0	23.48
PF00347		Ribosomal protein L6	Ribosomal_L6	148.0	80.43
PF01197	CL0758	Ribosomal protein L31	Ribosomal_L31	78.0	97.67
PF01782	CL0105	RimM N-terminal domain	RimM	85.0	72.37
PF00684		DnaJ central domain	DnaJ_CXXCXGXG	52.0	9.21
PF07475	CL0374	HPr Serine kinase C-terminal domain	Hpr_kinase_C	171.0	234.71
PF01978	CL0123	Sugar-specific transcriptional regulator TrmB	TrmB	39.0	4.95
PF13457	CL0010	GW (Gly-Tryp) dipeptide domain	GW	298.0	45.62
PF20866	CL0010	Phosphoribosyl-dephospho-CoA transferase MdcG N-terminal domain	MdcG_N	71.0	39.7
PF01245	CL0010	Ribosomal protein L19	Ribosomal_L19	111.0	171.78
PF02452	CL0010	PemK-like, MazF-like toxin of type II toxin-antitoxin system	PemK_toxin	107.0	126.77
PF10396	CL0289	GTP-binding protein TrmE N-terminus	TrmE_N	119.0	147.35
PF00698	CL0323	Acyl transferase domain	Acyl_transf_1	284.0	74.56
PF13375	CL0105	RnfC Barrel sandwich hybrid domain	RnfC_N	83.0	66.01
PF13529	CL0125	Peptidase_C39 like family	Peptidase_C39_2	166.0	104.3
PF14181		YqfQ-like protein	YqfQ	140.0	46.43
PF04914	CL0264	DltD protein	DltD	346.0	379.87
PF07940	CL0103	Heparinase II/III-like protein	Hepar_II_III	234.0	44.4
PF00990	CL0276	Diguanylate cyclase, GGDEF domain	GGDEF	159.0	118.84
PF02502		Ribose/Galactose Isomerase	LacAB_rpiB	138.0	176.77
PF00171	CL0099	Aldehyde dehydrogenase family	Aldedh	422.0	106.06
PF02875		Mur ligase family, glutamate ligase domain	Mur_ligase_C	88.0	79.14
PF09383	CL0070	NIL domain	NIL	72.0	73.48
PF05524		PEP-utilising enzyme, N-terminal	PEP-utilisers_N	123.0	117.11
PF00410		Ribosomal protein S8	Ribosomal_S8	128.0	179.4
PF01522	CL0158	Polysaccharide deacetylase	Polysacc_deac_1	129.0	94.3
PF01416	CL0649	tRNA pseudouridine synthase	PseudoU_synth_1	105.0	112.26
PF13535	CL0179	ATP-grasp domain	ATP-grasp_4	144.0	30.09
PF00411	CL0267	Ribosomal protein S11	Ribosomal_S11	110.0	175.2
PF07992	CL0063	Pyridine nucleotide-disulphide oxidoreductase	Pyr_redox_2	315.0	231.21
PF02776	CL0254	Thiamine pyrophosphate enzyme, N-terminal TPP binding domain	TPP_enzyme_N	118.0	147.09
PF12161		HsdM N-terminal domain	HsdM_N	154.0	74.11
