JAJPXI010000169.1 3000.0 5999.0 JAUNSG010000001.1 22113.0 25112.0 74.3585
MN091626.1 7879.0 10878.0 OR836606.1 90537.0 93536.0 94.4233
MW218148.1 0.0 2999.0 MW349128.1 207722.0 210721.0 82.6993
MW218148.1 3000.0 5999.0 MW349128.1 212174.0 215173.0 82.997
MW218148.1 6000.0 8999.0 MW349128.1 214684.0 217683.0 84.1892
MW218148.1 9000.0 11999.0 MW349128.1 217663.0 220662.0 76.9706
MW218148.1 18000.0 20999.0 MW349128.1 228434.0 231433.0 80.1633
MW218148.1 21000.0 23999.0 MW349128.1 229550.0 232549.0 85.4292
MW218148.1 27000.0 29999.0 MW349128.1 237785.0 240784.0 76.6894
MW218148.1 0.0 2999.0 MW349129.1 202734.0 205733.0 83.5059
MW218148.1 3000.0 5999.0 MW349129.1 206969.0 209968.0 81.2507
MW218148.1 6000.0 8999.0 MW349129.1 209520.0 212519.0 85.2792
MW218148.1 9000.0 11999.0 MW349129.1 212534.0 215533.0 80.1112
MW218148.1 12000.0 14999.0 MW349129.1 215814.0 218813.0 83.3407
MW218148.1 18000.0 20999.0 MW349129.1 224037.0 227036.0 81.2767
MW218148.1 21000.0 23999.0 MW349129.1 224285.0 227284.0 91.2417
MW218148.1 24000.0 26999.0 MW349129.1 229735.0 232734.0 80.349
MW218148.1 27000.0 29999.0 MW349129.1 232571.0 235570.0 88.1352
MW218148.1 27000.0 29999.0 OR836606.1 54962.0 57961.0 86.048
MW218148.1 24000.0 26999.0 OR836606.1 56658.0 59657.0 74.7036
MW218148.1 21000.0 23999.0 OR836606.1 63821.0 66820.0 85.9042
MW218148.1 12000.0 14999.0 OR836606.1 69293.0 72292.0 81.5973
MW218148.1 9000.0 11999.0 OR836606.1 72961.0 75960.0 80.1112
MW218148.1 6000.0 8999.0 OR836606.1 76494.0 79493.0 85.2792
MW218148.1 3000.0 5999.0 OR836606.1 78986.0 81985.0 78.7686
MW218148.1 0.0 2999.0 OR836606.1 84347.0 87346.0 85.4131
MW349128.1 199310.0 202309.0 MW349129.1 194681.0 197680.0 82.745
MW349128.1 202310.0 205309.0 MW349129.1 197606.0 200605.0 92.1036
MW349128.1 208310.0 211309.0 MW349129.1 203279.0 206278.0 91.1596
MW349128.1 214310.0 217309.0 MW349129.1 208893.0 211892.0 92.3246
MW349128.1 217310.0 220309.0 MW349129.1 211619.0 214618.0 83.3588
MW349128.1 220310.0 223309.0 MW349129.1 214808.0 217807.0 76.7648
MW349128.1 229310.0 232309.0 MW349129.1 223594.0 226593.0 89.2281
MW349128.1 232310.0 235309.0 MW349129.1 226807.0 229806.0 77.0495
MW349128.1 235310.0 238309.0 MW349129.1 229270.0 232269.0 84.8601
MW349128.1 235310.0 238309.0 OR836606.1 58854.0 61853.0 82.1368
MW349128.1 232310.0 235309.0 OR836606.1 61313.0 64312.0 78.8211
MW349128.1 229310.0 232309.0 OR836606.1 64325.0 67324.0 87.2376
MW349128.1 214310.0 217309.0 OR836606.1 77029.0 80028.0 88.3253
MW349128.1 205310.0 208309.0 OR836606.1 80256.0 83255.0 87.0558
MW349128.1 208310.0 211309.0 OR836606.1 84528.0 87527.0 90.8354
MW349128.1 202310.0 205309.0 OR836606.1 88949.0 91948.0 92.3645
MW349128.1 199310.0 202309.0 OR836606.1 91696.0 94695.0 80.9966
MW349129.1 230290.0 233289.0 OR836606.1 56682.0 59681.0 92.2858
MW349129.1 227290.0 230289.0 OR836606.1 61104.0 64103.0 85.2055
MW349129.1 224290.0 227289.0 OR836606.1 63496.0 66495.0 89.4407
MW349129.1 218290.0 221289.0 OR836606.1 67771.0 70770.0 92.0769
MW349129.1 215290.0 218289.0 OR836606.1 70801.0 73800.0 89.6113
MW349129.1 212290.0 215289.0 OR836606.1 73795.0 76794.0 92.3326
MW349129.1 209290.0 212289.0 OR836606.1 76794.0 79793.0 93.6241
MW349129.1 206290.0 209289.0 OR836606.1 80055.0 83054.0 88.6544
MW349129.1 203290.0 206289.0 OR836606.1 84351.0 87350.0 95.0402
MW349129.1 200290.0 203289.0 OR836606.1 87020.0 90019.0 84.0904
MW349129.1 197290.0 200289.0 OR836606.1 89390.0 92389.0 94.1861
MZ422438.1 165430.0 168429.0 MZ422438.1 165412.0 168411.0 100.0
MZ422438.1 168430.0 171429.0 MZ422438.1 168427.0 171426.0 100.0
MZ422438.1 171430.0 174429.0 MZ422438.1 171426.0 174425.0 100.0
MZ422438.1 174430.0 177429.0 MZ422438.1 174408.0 177407.0 100.0
MZ422438.1 177430.0 180429.0 MZ422438.1 177410.0 180409.0 100.0
MZ422438.1 180430.0 183429.0 MZ422438.1 180417.0 183416.0 100.0
MZ422438.1 183430.0 186429.0 MZ422438.1 183413.0 186412.0 100.0
MZ422438.1 186430.0 189429.0 MZ422438.1 186417.0 189416.0 100.0
MZ422438.1 189430.0 192429.0 MZ422438.1 189420.0 192419.0 100.0
MZ422438.1 192430.0 195429.0 MZ422438.1 192422.0 195421.0 100.0
MZ422438.1 195430.0 198429.0 MZ422438.1 195426.0 198425.0 100.0
NZ_CAJLPU010000036.1 27000.0 29999.0 NZ_CALAOE010000005.1 38732.0 41731.0 76.9185
NZ_CAJLPU010000036.1 24000.0 26999.0 NZ_CALAOE010000005.1 40432.0 43431.0 78.5882
NZ_CAJLPU010000036.1 15000.0 17999.0 NZ_CALAOE010000005.1 45410.0 48409.0 81.2248
NZ_CAJLPU010000036.1 12000.0 14999.0 NZ_CALAOE010000005.1 47605.0 50604.0 76.7648
NZ_CAJLPU010000036.1 6000.0 8999.0 NZ_CALAOE010000005.1 53970.0 56969.0 77.0495
NZ_CAJLPU010000036.1 3000.0 5999.0 NZ_CALAOE010000005.1 58718.0 61717.0 78.5882
NZ_CAJLPU010000036.1 0.0 2999.0 NZ_CALAOE010000005.1 61346.0 64345.0 87.8133
NZ_CAJLPU010000036.1 12000.0 14999.0 NZ_JBDMDN010000017.1 25667.0 28666.0 76.7648
NZ_CAJLPU010000036.1 0.0 2999.0 NZ_JBDMDN010000017.1 37580.0 40579.0 84.3405
NZ_CALAOE010000005.1 37436.0 40435.0 NZ_JBDMDN010000017.1 13732.0 16731.0 74.5419
NZ_CALAOE010000005.1 40436.0 43435.0 NZ_JBDMDN010000017.1 15453.0 18452.0 74.5686
NZ_CALAOE010000005.1 52436.0 55435.0 NZ_JBDMDN010000017.1 29243.0 32242.0 79.0357
NZ_CM000759.1 5569089.0 5572088.0 NZ_JAQFPF010000008.1 2233.0 5232.0 95.4398
NZ_CM000759.1 5575089.0 5578088.0 NZ_JAQFPF010000008.1 8159.0 11158.0 94.0682
NZ_CM000759.1 5578089.0 5581088.0 NZ_JAQFPF010000008.1 10439.0 13438.0 92.0837
NZ_CM000759.1 5581089.0 5584088.0 NZ_JAQFPF010000008.1 14888.0 17887.0 92.1052
NZ_CM000759.1 5587089.0 5590088.0 NZ_JAQFPF010000008.1 19928.0 22927.0 96.9786
NZ_CM000759.1 5590089.0 5593088.0 NZ_JAQFPF010000008.1 22626.0 25625.0 91.9202
NZ_CM000759.1 5593089.0 5596088.0 NZ_JAQFPF010000008.1 23745.0 26744.0 90.2148
NZ_CM000759.1 5596089.0 5599088.0 NZ_JAQFPF010000008.1 26858.0 29857.0 92.1019
NZ_CM000759.1 5599089.0 5602088.0 NZ_JAQFPF010000008.1 33385.0 36384.0 91.6953
NZ_CM000759.1 5602089.0 5605088.0 NZ_JAQFPF010000008.1 35913.0 38912.0 91.0493
NZ_CM000759.1 5605089.0 5608088.0 NZ_JAQFPF010000008.1 39847.0 42846.0 96.3191
NZ_CM000759.1 5605089.0 5608088.0 VEPW01000009.1 124480.0 127479.0 96.4575
NZ_CM000759.1 5602089.0 5605088.0 VEPW01000009.1 127528.0 130527.0 93.6339
NZ_CM000759.1 5599089.0 5602088.0 VEPW01000009.1 129128.0 132127.0 91.9725
NZ_CM000759.1 5596089.0 5599088.0 VEPW01000009.1 135953.0 138952.0 91.3587
NZ_CM000759.1 5590089.0 5593088.0 VEPW01000009.1 140156.0 143155.0 90.4975
NZ_CM000759.1 5587089.0 5590088.0 VEPW01000009.1 142935.0 145934.0 96.7363
NZ_CM000759.1 5584089.0 5587088.0 VEPW01000009.1 145603.0 148602.0 93.405
NZ_CM000759.1 5581089.0 5584088.0 VEPW01000009.1 148357.0 151356.0 94.2531
NZ_CM000759.1 5578089.0 5581088.0 VEPW01000009.1 152252.0 155251.0 92.8098
NZ_CM000759.1 5575089.0 5578088.0 VEPW01000009.1 154789.0 157788.0 93.7786
NZ_CM000759.1 5572089.0 5575088.0 VEPW01000009.1 157840.0 160839.0 95.3417
NZ_CM000759.1 5569089.0 5572088.0 VEPW01000009.1 160396.0 163395.0 95.3751
NZ_JABXYN010000002.1 32064.0 35063.0 NZ_JABXYO010000002.1 11850.0 14849.0 100.0
NZ_JABXYN010000002.1 35064.0 38063.0 NZ_JABXYO010000002.1 14831.0 17830.0 100.0
NZ_JABXYN010000002.1 38064.0 41063.0 NZ_JABXYO010000002.1 17832.0 20831.0 100.0
NZ_JABXYN010000002.1 41064.0 44063.0 NZ_JABXYO010000002.1 20845.0 23844.0 100.0
NZ_JABXYN010000002.1 44064.0 47063.0 NZ_JABXYO010000002.1 23829.0 26828.0 100.0
NZ_JABXYN010000002.1 47064.0 50063.0 NZ_JABXYO010000002.1 26847.0 29846.0 100.0
NZ_JABXYN010000002.1 50064.0 53063.0 NZ_JABXYO010000002.1 29827.0 32826.0 100.0
NZ_JABXYN010000002.1 53064.0 56063.0 NZ_JABXYO010000002.1 32835.0 35834.0 100.0
NZ_JABXYN010000002.1 56064.0 59063.0 NZ_JABXYO010000002.1 35847.0 38846.0 100.0
NZ_JABXYN010000002.1 59064.0 62063.0 NZ_JABXYO010000002.1 38844.0 41843.0 100.0
NZ_JABXYN010000002.1 62064.0 65063.0 NZ_JABXYO010000002.1 41833.0 44832.0 100.0
NZ_JABXYN010000002.1 65064.0 68063.0 NZ_JABXYO010000002.1 44832.0 47831.0 100.0
NZ_JABXYN010000002.1 68064.0 71063.0 NZ_JABXYO010000002.1 47839.0 50838.0 100.0
NZ_JABXYN010000002.1 59064.0 62063.0 NZ_MTIV01000022.1 134379.0 137378.0 77.2651
NZ_JABXYN010000002.1 53064.0 56063.0 NZ_MTIV01000022.1 146958.0 149957.0 80.1895
NZ_JABXYN010000002.1 50064.0 53063.0 NZ_MTIV01000022.1 151347.0 154346.0 74.4364
NZ_JABXYN010000002.1 47064.0 50063.0 NZ_MTIV01000022.1 154953.0 157952.0 78.7686
NZ_JABXYO010000002.1 38850.0 41849.0 NZ_MTIV01000022.1 134379.0 137378.0 77.2651
NZ_JABXYO010000002.1 32850.0 35849.0 NZ_MTIV01000022.1 146958.0 149957.0 80.1895
NZ_JABXYO010000002.1 29850.0 32849.0 NZ_MTIV01000022.1 151347.0 154346.0 74.4364
NZ_JABXYO010000002.1 26850.0 29849.0 NZ_MTIV01000022.1 154953.0 157952.0 78.7686
NZ_JAQFPF010000008.1 38226.0 41225.0 VEPW01000009.1 126030.0 129029.0 97.2917
NZ_JAQFPF010000008.1 32226.0 35225.0 VEPW01000009.1 130862.0 133861.0 98.9655
NZ_JAQFPF010000008.1 29226.0 32225.0 VEPW01000009.1 133776.0 136775.0 97.8428
NZ_JAQFPF010000008.1 26226.0 29225.0 VEPW01000009.1 137104.0 140103.0 97.3392
NZ_JAQFPF010000008.1 23226.0 26225.0 VEPW01000009.1 139933.0 142932.0 93.4416
NZ_JAQFPF010000008.1 20226.0 23225.0 VEPW01000009.1 142639.0 145638.0 98.8375
NZ_JAQFPF010000008.1 17226.0 20225.0 VEPW01000009.1 145632.0 148631.0 96.7884
NZ_JAQFPF010000008.1 14226.0 17225.0 VEPW01000009.1 148676.0 151675.0 97.7017
NZ_JAQFPF010000008.1 11226.0 14225.0 VEPW01000009.1 151637.0 154636.0 99.131
NZ_JAQFPF010000008.1 8226.0 11225.0 VEPW01000009.1 154746.0 157745.0 98.6135
NZ_JAQFPF010000008.1 5226.0 8225.0 VEPW01000009.1 157650.0 160649.0 97.5886
NZ_JAQFPF010000008.1 2226.0 5225.0 VEPW01000009.1 160396.0 163395.0 98.2661
NZ_NPBS01000018.1 37269.0 40268.0 NZ_NPCC01000029.1 486.0 3485.0 99.9737
NZ_NPBS01000018.1 34269.0 37268.0 NZ_NPCC01000029.1 3466.0 6465.0 99.1811
NZ_NPBS01000018.1 28269.0 31268.0 NZ_NPCC01000029.1 8732.0 11731.0 96.1394
NZ_NPBS01000018.1 25269.0 28268.0 NZ_NPCC01000029.1 11727.0 14726.0 99.1416
NZ_NPBS01000018.1 22269.0 25268.0 NZ_NPCC01000029.1 14731.0 17730.0 99.3129
NZ_NPBS01000018.1 19269.0 22268.0 NZ_NPCC01000029.1 17711.0 20710.0 97.4148
NZ_NPBS01000018.1 16269.0 19268.0 NZ_NPCC01000029.1 20715.0 23714.0 98.7706
NZ_NPBS01000018.1 13269.0 16268.0 NZ_NPCC01000029.1 23730.0 26729.0 98.4791
NZ_NPBS01000018.1 10269.0 13268.0 NZ_NPCC01000029.1 26775.0 29774.0 98.6652
NZ_NPBS01000018.1 7269.0 10268.0 NZ_NPCC01000029.1 29777.0 32776.0 99.1154
NZ_NPBS01000018.1 4269.0 7268.0 NZ_NPCC01000029.1 32365.0 35364.0 97.4489
NZ_NPBS01000018.1 1269.0 4268.0 NZ_NPCC01000029.1 36055.0 39054.0 88.4966
