gene_id	id	product	target_prot	target_nuc	unique_id	cluster	padloc_system	padloc_gene
WP_298651943.1	WP_298651943.1	hypothetical protein	WP_298651889.1	NZ_CALAOE010000005.1	2	6		
WP_298651946.1	WP_298651946.1	hypothetical protein	WP_298651889.1	NZ_CALAOE010000005.1	2			
WP_347128476.1	WP_347128476.1	hypothetical protein	WP_347129137.1	NZ_JBDMDN010000017.1	3	386		
WP_347128475.1	WP_347128475.1	HNH endonuclease	WP_347129137.1	NZ_JBDMDN010000017.1	3	31		
WP_347128474.1	WP_347128474.1	cell wall hydrolase	WP_347129137.1	NZ_JBDMDN010000017.1	3	240		
WP_347128473.1	WP_347128473.1	hypothetical protein	WP_347129137.1	NZ_JBDMDN010000017.1	3			
WP_347128472.1	WP_347128472.1	CCA tRNA nucleotidyltransferase	WP_347129137.1	NZ_JBDMDN010000017.1	3	37		
WP_347128471.1	WP_347128471.1	nucleotidyltransferase domain-containing protein	WP_347129137.1	NZ_JBDMDN010000017.1	3	38		
WP_347128470.1	WP_347128470.1	hypothetical protein	WP_347129137.1	NZ_JBDMDN010000017.1	3	229		
WP_347128469.1	WP_347128469.1	hypothetical protein	WP_347129137.1	NZ_JBDMDN010000017.1	3	231		
WP_347128468.1	WP_347128468.1	hypothetical protein	WP_347129137.1	NZ_JBDMDN010000017.1	3			
WP_347128467.1	WP_347128467.1	DUF1848 family protein	WP_347129137.1	NZ_JBDMDN010000017.1	3	391		
WP_347128466.1	WP_347128466.1	hypothetical protein	WP_347129137.1	NZ_JBDMDN010000017.1	3			
WP_347128465.1	WP_347128465.1	hypothetical protein	WP_347129137.1	NZ_JBDMDN010000017.1	3			
WP_347128464.1	WP_347128464.1	hypothetical protein	WP_347129137.1	NZ_JBDMDN010000017.1	3			
WP_347128463.1	WP_347128463.1	hypothetical protein	WP_347129137.1	NZ_JBDMDN010000017.1	3			
WP_347128462.1	WP_347128462.1	hypothetical protein	WP_347129137.1	NZ_JBDMDN010000017.1	3	246		
WP_347128461.1	WP_347128461.1	hypothetical protein	WP_347129137.1	NZ_JBDMDN010000017.1	3	344		
WP_347128460.1	WP_347128460.1	hypothetical protein	WP_347129137.1	NZ_JBDMDN010000017.1	3			
WP_347128459.1	WP_347128459.1	cysteine desulfurase family protein	WP_347129137.1	NZ_JBDMDN010000017.1	3	15		
WP_347128458.1	WP_347128458.1	hypothetical protein	WP_347129137.1	NZ_JBDMDN010000017.1	3	18		
WP_177889699.1	WP_177889699.1	hypothetical protein	WP_347129137.1	NZ_JBDMDN010000017.1	3	339		
WP_177889697.1	WP_177889697.1	hypothetical protein	WP_347129137.1	NZ_JBDMDN010000017.1	3	401		
WP_177889695.1	WP_177889695.1	GP88 family protein	WP_347129137.1	NZ_JBDMDN010000017.1	3	11		
WP_177889693.1	WP_177889693.1	hypothetical protein	WP_347129137.1	NZ_JBDMDN010000017.1	3	23		
WP_347128456.1	WP_347128456.1	hypothetical protein	WP_347129137.1	NZ_JBDMDN010000017.1	3	213		
WP_177889691.1	WP_177889691.1	RNA ligase family protein	WP_347129137.1	NZ_JBDMDN010000017.1	3	78		
WP_347128455.1	WP_347128455.1	prohibitin family protein	WP_347129137.1	NZ_JBDMDN010000017.1	3	443		
WP_347128454.1	WP_347128454.1	hypothetical protein	WP_347129137.1	NZ_JBDMDN010000017.1	3	33		
WP_347128453.1	WP_347128453.1	hypothetical protein	WP_347129137.1	NZ_JBDMDN010000017.1	3			
WP_347128452.1	WP_347128452.1	hypothetical protein	WP_347129137.1	NZ_JBDMDN010000017.1	3	42		
WP_347128451.1	WP_347128451.1	hypothetical protein	WP_347129137.1	NZ_JBDMDN010000017.1	3	409		
WP_347128450.1	WP_347128450.1	hypothetical protein	WP_347129137.1	NZ_JBDMDN010000017.1	3	389		
WP_347128449.1	WP_347128449.1	RtcB family protein	WP_347129137.1	NZ_JBDMDN010000017.1	3	75		
WP_177890218.1	WP_177890218.1	hypothetical protein	WP_347129137.1	NZ_JBDMDN010000017.1	3	10		
WP_177890217.1	WP_177890217.1	hypothetical protein	WP_347129137.1	NZ_JBDMDN010000017.1	3			
WP_347129136.1	WP_347129136.1	hypothetical protein	WP_347129137.1	NZ_JBDMDN010000017.1	3			
WP_347129135.1	WP_347129135.1	metallophosphoesterase family protein	WP_347129137.1	NZ_JBDMDN010000017.1	3	7		
WP_347129137.1	WP_347129137.1	reverse transcriptase domain-containing protein	WP_347129137.1	NZ_JBDMDN010000017.1	3	1		
WP_347129134.1	WP_347129134.1	hypothetical protein	WP_347129137.1	NZ_JBDMDN010000017.1	3	147		
WP_347129133.1	WP_347129133.1	ThiF family adenylyltransferase	WP_347129137.1	NZ_JBDMDN010000017.1	3	3		
WP_347129132.1	WP_347129132.1	hypothetical protein	WP_347129137.1	NZ_JBDMDN010000017.1	3	4		
WP_347129131.1	WP_347129131.1	hypothetical protein	WP_347129137.1	NZ_JBDMDN010000017.1	3	5		
WP_347129130.1	WP_347129130.1	hypothetical protein	WP_347129137.1	NZ_JBDMDN010000017.1	3	2		
WP_347129129.1	WP_347129129.1	hypothetical protein	WP_347129137.1	NZ_JBDMDN010000017.1	3	2		
WP_347129128.1	WP_347129128.1	DUF6273 domain-containing protein	WP_347129137.1	NZ_JBDMDN010000017.1	3	16		
WP_347129127.1	WP_347129127.1	hypothetical protein	WP_347129137.1	NZ_JBDMDN010000017.1	3	12		
WP_347129126.1	WP_347129126.1	hypothetical protein	WP_347129137.1	NZ_JBDMDN010000017.1	3			
WP_347129218.1	WP_347129218.1	hypothetical protein	WP_347129137.1	NZ_JBDMDN010000017.1	3	340		
WP_347129217.1	WP_347129217.1	hypothetical protein	WP_347129137.1	NZ_JBDMDN010000017.1	3			
WP_347129216.1	WP_347129216.1	hypothetical protein	WP_347129137.1	NZ_JBDMDN010000017.1	3	54		
WP_347129215.1	WP_347129215.1	hypothetical protein	WP_347129137.1	NZ_JBDMDN010000017.1	3	61		
WP_347129214.1	WP_347129214.1	HU family DNA-binding protein	WP_347129137.1	NZ_JBDMDN010000017.1	3	24		
WP_347129213.1	WP_347129213.1	hypothetical protein	WP_347129137.1	NZ_JBDMDN010000017.1	3	442		
WP_347129212.1	WP_347129212.1	hypothetical protein	WP_347129137.1	NZ_JBDMDN010000017.1	3	148		
WP_347129211.1	WP_347129211.1	hypothetical protein	WP_347129137.1	NZ_JBDMDN010000017.1	3	160		
WP_347129209.1	WP_347129209.1	hypothetical protein	WP_347129137.1	NZ_JBDMDN010000017.1	3	30		
WP_347129208.1	WP_347129208.1	hypothetical protein	WP_347129137.1	NZ_JBDMDN010000017.1	3	235		
WP_347130142.1	WP_347130142.1	hypothetical protein	WP_347129137.1	NZ_JBDMDN010000017.1	3	6		
WP_347129260.1	WP_347129260.1	LuxR C-terminal-related transcriptional regulator	WP_347129137.1	NZ_JBDMDN010000017.1	3	151		
WP_347129261.1	WP_347129261.1	tyrosine-type recombinase/integrase	WP_347129137.1	NZ_JBDMDN010000017.1	3	17		
WP_347130143.1	WP_347130143.1	hypothetical protein	WP_347129137.1	NZ_JBDMDN010000017.1	3			
WP_295429525.1	WP_295429525.1	hypothetical protein	WP_295429563.1	NZ_CAJLPU010000036.1	4	6		
WP_295429528.1	WP_295429528.1	hypothetical protein	WP_295429563.1	NZ_CAJLPU010000036.1	4	30		
WP_295429531.1	WP_295429531.1	hypothetical protein	WP_295429563.1	NZ_CAJLPU010000036.1	4	160		
WP_295429534.1	WP_295429534.1	radical SAM protein	WP_295429563.1	NZ_CAJLPU010000036.1	4	166		
WP_295429623.1	WP_295429623.1	HU family DNA-binding protein	WP_295429563.1	NZ_CAJLPU010000036.1	4	24		
WP_295429537.1	WP_295429537.1	hypothetical protein	WP_295429563.1	NZ_CAJLPU010000036.1	4	61		
WP_295429539.1	WP_295429539.1	hypothetical protein	WP_295429563.1	NZ_CAJLPU010000036.1	4	341		
WP_295429541.1	WP_295429541.1	hypothetical protein	WP_295429563.1	NZ_CAJLPU010000036.1	4	12		
WP_295429543.1	WP_295429543.1	DUF6273 domain-containing protein	WP_295429563.1	NZ_CAJLPU010000036.1	4	16		
WP_295429546.1	WP_295429546.1	hypothetical protein	WP_295429563.1	NZ_CAJLPU010000036.1	4	2		
WP_295429549.1	WP_295429549.1	hypothetical protein	WP_295429563.1	NZ_CAJLPU010000036.1	4	2		
WP_295429552.1	WP_295429552.1	hypothetical protein	WP_295429563.1	NZ_CAJLPU010000036.1	4	5		
WP_295429554.1	WP_295429554.1	hypothetical protein	WP_295429563.1	NZ_CAJLPU010000036.1	4	4		
WP_295429557.1	WP_295429557.1	ThiF family adenylyltransferase	WP_295429563.1	NZ_CAJLPU010000036.1	4	3		
WP_295429560.1	WP_295429560.1	hypothetical protein	WP_295429563.1	NZ_CAJLPU010000036.1	4	147		
WP_295429563.1	WP_295429563.1	reverse transcriptase domain-containing protein	WP_295429563.1	NZ_CAJLPU010000036.1	4	1		
WP_295429565.1	WP_295429565.1	metallophosphoesterase	WP_295429563.1	NZ_CAJLPU010000036.1	4	7		
WP_295429567.1	WP_295429567.1	DUF3990 domain-containing protein	WP_295429563.1	NZ_CAJLPU010000036.1	4	342		
WP_295429570.1	WP_295429570.1	hypothetical protein	WP_295429563.1	NZ_CAJLPU010000036.1	4	10		
WP_295429573.1	WP_295429573.1	hypothetical protein	WP_295429563.1	NZ_CAJLPU010000036.1	4			
WP_295429575.1	WP_295429575.1	isochorismatase family cysteine hydrolase	WP_295429563.1	NZ_CAJLPU010000036.1	4	68		
WP_295429576.1	WP_295429576.1	phosphoribosyltransferase family protein	WP_295429563.1	NZ_CAJLPU010000036.1	4	80		
WP_295429579.1	WP_295429579.1	RtcB family protein	WP_295429563.1	NZ_CAJLPU010000036.1	4	75		
WP_295429582.1	WP_295429582.1	nicotinate phosphoribosyltransferase	WP_295429563.1	NZ_CAJLPU010000036.1	4	79		
WP_295429584.1	WP_295429584.1	macro domain-containing protein	WP_295429563.1	NZ_CAJLPU010000036.1	4	14		
WP_295429587.1	WP_295429587.1	NAD(+) synthase	WP_295429563.1	NZ_CAJLPU010000036.1	4	60		
WP_295429590.1	WP_295429590.1	hypothetical protein	WP_295429563.1	NZ_CAJLPU010000036.1	4	42		
WP_295429593.1	WP_295429593.1	hypothetical protein	WP_295429563.1	NZ_CAJLPU010000036.1	4			
WP_295429596.1	WP_295429596.1	hypothetical protein	WP_295429563.1	NZ_CAJLPU010000036.1	4	59		
WP_295429599.1	WP_295429599.1	prohibitin family protein	WP_295429563.1	NZ_CAJLPU010000036.1	4	28		
WP_295429602.1	WP_295429602.1	hypothetical protein	WP_295429563.1	NZ_CAJLPU010000036.1	4			
WP_295429605.1	WP_295429605.1	hypothetical protein	WP_295429563.1	NZ_CAJLPU010000036.1	4	212		
WP_295429607.1	WP_295429607.1	RNA ligase family protein	WP_295429563.1	NZ_CAJLPU010000036.1	4	78		
WP_295429609.1	WP_295429609.1	hypothetical protein	WP_295429563.1	NZ_CAJLPU010000036.1	4	213		
WP_295429611.1	WP_295429611.1	hypothetical protein	WP_295429563.1	NZ_CAJLPU010000036.1	4	241		
WP_295429614.1	WP_295429614.1	hypothetical protein	WP_295429563.1	NZ_CAJLPU010000036.1	4			
WP_295429617.1	WP_295429617.1	hypothetical protein	WP_295429563.1	NZ_CAJLPU010000036.1	4	104		
WP_295429620.1	WP_295429620.1	hypothetical protein	WP_295429563.1	NZ_CAJLPU010000036.1	4	345		
MDR2043401.1	MDR2043401.1	M50 family metallopeptidase	MDR2043435.1	JAISOV010000017.1	5			
MDR2043402.1	MDR2043402.1	ABC transporter ATP-binding protein	MDR2043435.1	JAISOV010000017.1	5	94		
MDR2043403.1	MDR2043403.1	hypothetical protein	MDR2043435.1	JAISOV010000017.1	5			
MDR2043404.1	MDR2043404.1	hypothetical protein	MDR2043435.1	JAISOV010000017.1	5			
MDR2043405.1	MDR2043405.1	hypothetical protein	MDR2043435.1	JAISOV010000017.1	5			
MDR2043406.1	MDR2043406.1	very short patch repair endonuclease	MDR2043435.1	JAISOV010000017.1	5			
MDR2043407.1	MDR2043407.1	hypothetical protein	MDR2043435.1	JAISOV010000017.1	5			
MDR2043408.1	MDR2043408.1	hypothetical protein	MDR2043435.1	JAISOV010000017.1	5			
MDR2043409.1	MDR2043409.1	ABC transporter ATP-binding protein	MDR2043435.1	JAISOV010000017.1	5	94		
MDR2043410.1	MDR2043410.1	hypothetical protein	MDR2043435.1	JAISOV010000017.1	5			
MDR2043411.1	MDR2043411.1	hypothetical protein	MDR2043435.1	JAISOV010000017.1	5			
MDR2043412.1	MDR2043412.1	hypothetical protein	MDR2043435.1	JAISOV010000017.1	5			
MDR2043413.1	MDR2043413.1	dipicolinate synthase subunit B	MDR2043435.1	JAISOV010000017.1	5			
MDR2043414.1	MDR2043414.1	asparagine synthase (glutamine-hydrolyzing)	MDR2043435.1	JAISOV010000017.1	5			
MDR2043415.1	MDR2043415.1	NAD-dependent protein deacylase	MDR2043435.1	JAISOV010000017.1	5			
MDR2043416.1	MDR2043416.1	beta-phosphoglucomutase	MDR2043435.1	JAISOV010000017.1	5			
MDR2043417.1	MDR2043417.1	glycoside hydrolase family 3 C-terminal domain-containing protein	MDR2043435.1	JAISOV010000017.1	5			
MDR2043418.1	MDR2043418.1	glycoside hydrolase family 3 protein	MDR2043435.1	JAISOV010000017.1	5			
MDR2043419.1	MDR2043419.1	hypothetical protein	MDR2043435.1	JAISOV010000017.1	5			
MDR2043420.1	MDR2043420.1	hypothetical protein	MDR2043435.1	JAISOV010000017.1	5			
MDR2043421.1	MDR2043421.1	ABC transporter permease	MDR2043435.1	JAISOV010000017.1	5			
MDR2043422.1	MDR2043422.1	sugar ABC transporter ATP-binding protein	MDR2043435.1	JAISOV010000017.1	5	94		
MDR2043423.1	MDR2043423.1	helix-turn-helix domain-containing protein	MDR2043435.1	JAISOV010000017.1	5			
MDR2043424.1	MDR2043424.1	hypothetical protein	MDR2043435.1	JAISOV010000017.1	5			
MDR2043425.1	MDR2043425.1	hypothetical protein	MDR2043435.1	JAISOV010000017.1	5			
MDR2043426.1	MDR2043426.1	peptidyl-prolyl cis-trans isomerase	MDR2043435.1	JAISOV010000017.1	5			
MDR2043427.1	MDR2043427.1	MATE family efflux transporter	MDR2043435.1	JAISOV010000017.1	5			
MDR2043428.1	MDR2043428.1	HD domain-containing protein	MDR2043435.1	JAISOV010000017.1	5	37		
MDR2043429.1	MDR2043429.1	phosphotransferase	MDR2043435.1	JAISOV010000017.1	5			
MDR2043430.1	MDR2043430.1	PEGA domain-containing protein	MDR2043435.1	JAISOV010000017.1	5			
MDR2043431.1	MDR2043431.1	MazG family protein	MDR2043435.1	JAISOV010000017.1	5			
MDR2043432.1	MDR2043432.1	hypothetical protein	MDR2043435.1	JAISOV010000017.1	5			
MDR2043433.1	MDR2043433.1	single-stranded DNA-binding protein	MDR2043435.1	JAISOV010000017.1	5			
MDR2043434.1	MDR2043434.1	hypothetical protein	MDR2043435.1	JAISOV010000017.1	5			
MDR2043435.1	MDR2043435.1	reverse transcriptase family protein	MDR2043435.1	JAISOV010000017.1	5	1		
MDR2043436.1	MDR2043436.1	tyrosine-type recombinase/integrase	MDR2043435.1	JAISOV010000017.1	5	17		
MDR2043437.1	MDR2043437.1	hypothetical protein	MDR2043435.1	JAISOV010000017.1	5			
CCY68931.1	CCY68931.1	aminoglycoside N(6')-acetyltransferase type 1	CCY69020.1	HF991826.1	6			
CCY68933.1	CCY68933.1	metallophosphoesterase	CCY69020.1	HF991826.1	6			
CCY68935.1	CCY68935.1	acetyltransferase (Cell wall biosynthesis)	CCY69020.1	HF991826.1	6	368		
CCY68937.1	CCY68937.1	site-specific recombinase XerD	CCY69020.1	HF991826.1	6	170		
CCY68939.1	CCY68939.1	excisionase family DNA binding domain-containing protein	CCY69020.1	HF991826.1	6			
CCY68941.1	CCY68941.1	unknown	CCY69020.1	HF991826.1	6			
CCY68943.1	CCY68943.1	unknown	CCY69020.1	HF991826.1	6			
CCY68945.1	CCY68945.1	putative uncharacterized protein	CCY69020.1	HF991826.1	6			
CCY68947.1	CCY68947.1	dUTP diphosphatase	CCY69020.1	HF991826.1	6	45		
CCY68949.1	CCY68949.1	anaerobic ribonucleoside-triphosphate reductase	CCY69020.1	HF991826.1	6	102		
CCY68951.1	CCY68951.1	putative uncharacterized protein	CCY69020.1	HF991826.1	6	359		
CCY68955.1	CCY68955.1	putative uncharacterized protein	CCY69020.1	HF991826.1	6	232		
CCY68957.1	CCY68957.1	unknown	CCY69020.1	HF991826.1	6			
CCY68958.1	CCY68958.1	putative uncharacterized protein	CCY69020.1	HF991826.1	6	8		
CCY68959.1	CCY68959.1	unknown	CCY69020.1	HF991826.1	6			
CCY68960.1	CCY68960.1	putative uncharacterized protein	CCY69020.1	HF991826.1	6			
CCY68961.1	CCY68961.1	unknown	CCY69020.1	HF991826.1	6			
CCY68962.1	CCY68962.1	unknown	CCY69020.1	HF991826.1	6			
CCY68963.1	CCY68963.1	phosphoadenosine phosphosulfate reductase family protein	CCY69020.1	HF991826.1	6			
CCY68964.1	CCY68964.1	putative uncharacterized protein	CCY69020.1	HF991826.1	6	358		
CCY68965.1	CCY68965.1	dNA primase	CCY69020.1	HF991826.1	6	35		
CCY68966.1	CCY68966.1	putative uncharacterized protein	CCY69020.1	HF991826.1	6	20		
CCY68968.1	CCY68968.1	putative uncharacterized protein	CCY69020.1	HF991826.1	6	20		
CCY68970.1	CCY68970.1	putative uncharacterized protein	CCY69020.1	HF991826.1	6	9		
CCY68972.1	CCY68972.1	putative uncharacterized protein	CCY69020.1	HF991826.1	6	19		
CCY68974.1	CCY68974.1	putative uncharacterized protein	CCY69020.1	HF991826.1	6	22		
CCY68975.1	CCY68975.1	putative uncharacterized protein	CCY69020.1	HF991826.1	6	53		
CCY68978.1	CCY68978.1	transcriptional modulator of MazE/toxin MazF	CCY69020.1	HF991826.1	6	13		
CCY68981.1	CCY68981.1	unknown	CCY69020.1	HF991826.1	6			
CCY68984.1	CCY68984.1	unknown	CCY69020.1	HF991826.1	6			
CCY68985.1	CCY68985.1	putative uncharacterized protein	CCY69020.1	HF991826.1	6	101		
CCY68986.1	CCY68986.1	unknown	CCY69020.1	HF991826.1	6			
CCY68987.1	CCY68987.1	putative uncharacterized protein	CCY69020.1	HF991826.1	6	163		
CCY68988.1	CCY68988.1	unknown	CCY69020.1	HF991826.1	6			
CCY68989.1	CCY68989.1	unknown	CCY69020.1	HF991826.1	6			
CCY68990.1	CCY68990.1	probable cysteine desulfurase	CCY69020.1	HF991826.1	6	15		
