leaf_id	og_index	superkingdom	kingdom	phylum	class	order	family	genus	species	start_win	end_win	strand_win	start_target	end_target
67	66	Bacteria	unclassified	Pseudomonadota	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas	Pseudomonas fulva	3390539.0	3471651.0	+	3430539.0	3431651.0
68	67	Bacteria	unclassified	Pseudomonadota	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas	Pseudomonas vranovensis	167780.0	208940.0	+	207780.0	208709.0
69	68	Bacteria	unclassified	Pseudomonadota	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas	Pseudomonas sp. MF6396	47870.0	128880.0	-	87870.0	88880.0
70	69	Bacteria	unclassified	Pseudomonadota	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas	Pseudomonas syringae	2093123.0	2174058.0	+	2133123.0	2134058.0
71	70		unclassified						unidentified	102789.0	147864.0	+	142789.0	143748.0
72	71	Bacteria	unclassified	Pseudomonadota	Gammaproteobacteria	Oceanospirillales	Halomonadaceae	Halomonas	Halomonas sp. 18H	0.0	47115.0	-	6189.0	7115.0
73	72	Bacteria	unclassified	Pseudomonadota	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Stutzerimonas	Stutzerimonas frequens	1743411.0	1824136.0	+	1783411.0	1784136.0
74	73	Bacteria	unclassified	Pseudomonadota	Gammaproteobacteria	Oceanospirillales	Halomonadaceae	Chromohalobacter	Chromohalobacter israelensis	1338303.0	1419334.0	-	1378303.0	1379334.0
75	74	Bacteria	unclassified	Pseudomonadota	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Stutzerimonas	Stutzerimonas frequens	119052.0	200044.0	-	159052.0	160044.0
76	75	Bacteria	unclassified	Pseudomonadota	Gammaproteobacteria	Oceanospirillales	Halomonadaceae	Halomonas	Halomonas jincaotanensis	58880.0	112982.0	+	98880.0	99842.0
77	76	Bacteria	unclassified	Pseudomonadota	Gammaproteobacteria	Oceanospirillales	Halomonadaceae	Cobetia	Cobetia amphilecti	60809.0	141810.0	-	100809.0	101810.0
78	77	Bacteria	unclassified	Pseudomonadota	Gammaproteobacteria	Alteromonadales	Alteromonadaceae		Alteromonadaceae bacterium					
79	78	Bacteria	unclassified	Pseudomonadota	Gammaproteobacteria				Gammaproteobacteria bacterium RIFCSPLOWO2_02_FULL_61_13	0.0	7371.0	+	2480.0	3544.0
80	79	Bacteria	unclassified	Pseudomonadota	Gammaproteobacteria	Oceanospirillales	Halomonadaceae	Halomonas	Halomonas sp. HG01	2453598.0	2534629.0	+	2493598.0	2494629.0
81	80	Bacteria	unclassified	Pseudomonadota	Betaproteobacteria	Burkholderiales	Oxalobacteraceae	Rugamonas	Rugamonas sp. R1(2021)	38159.0	89430.0	-	78159.0	79211.0
82	81	Bacteria	unclassified	Pseudomonadota	Betaproteobacteria	Burkholderiales	Oxalobacteraceae	Massilia	Massilia sp. BSC265	93601.0	174593.0	+	133601.0	134593.0
83	82	Bacteria	unclassified	Pseudomonadota	Gammaproteobacteria	Oceanospirillales	Halomonadaceae	Halomonas	Halomonas sp. A3H3	102105.0	157085.0	+	142105.0	143010.0
84	83	Bacteria	unclassified	Pseudomonadota	Gammaproteobacteria	Acidiferrobacterales			Acidiferrobacterales bacterium	0.0	9425.0	-	2599.0	3519.0
85	84	Bacteria	unclassified	Pseudomonadota	Betaproteobacteria	Burkholderiales	Oxalobacteraceae	Herbaspirillum	Herbaspirillum huttiense	3276488.0	3357519.0	-	3316488.0	3317519.0
86	85	Bacteria	unclassified	Pseudomonadota	Gammaproteobacteria	Oceanospirillales	Oceanospirillaceae	Thalassolituus	Thalassolituus oleivorans	329047.0	410012.0	+	369047.0	370012.0
87	86	Bacteria	unclassified	Pseudomonadota	Gammaproteobacteria	Moraxellales	Moraxellaceae	Moraxella	Moraxella lacunata	65146.0	146087.0	-	105146.0	106087.0
88	87	Bacteria	unclassified	Pseudomonadota	Gammaproteobacteria	Lysobacterales	Rhodanobacteraceae	Dyella	Dyella psychrodurans	30725.0	111708.0	-	70725.0	71708.0
89	88	Bacteria	unclassified	Pseudomonadota	Betaproteobacteria	Burkholderiales	Oxalobacteraceae	Massilia	Massilia sp. YIM B02763	5790.0	86839.0	-	45790.0	46839.0
90	89	Bacteria	unclassified	Pseudomonadota	Betaproteobacteria	Burkholderiales	Burkholderiaceae	Caballeronia	Caballeronia mineralivorans	0.0	35732.0	-	807.0	1682.0
91	90	Bacteria	unclassified	Pseudomonadota	Betaproteobacteria	Nitrosomonadales	Gallionellaceae	Candidatus Nitrotoga	Candidatus Nitrotoga sp.	0.0	30935.0	-	19201.0	20169.0
92	91	Bacteria	unclassified	Pseudomonadota	Betaproteobacteria	Burkholderiales	Burkholderiaceae	Paraburkholderia	Paraburkholderia phenazinium	423912.0	504940.0	-	463912.0	464940.0
93	92	Bacteria	unclassified	Pseudomonadota	Betaproteobacteria	Burkholderiales	Alcaligenaceae	Pigmentiphaga	Pigmentiphaga sp.	0.0	28018.0	-	232.0	1209.0
94	93	Bacteria	unclassified	Pseudomonadota	Betaproteobacteria				Betaproteobacteria bacterium	0.0	22927.0	+	11325.0	12164.0
95	94	Bacteria	unclassified	Pseudomonadota	Betaproteobacteria			Candidatus Accumulibacter	Accumulibacter sp.	0.0	10164.0	-	110.0	1069.0
96	95	Bacteria	unclassified	Pseudomonadota	Gammaproteobacteria				Gammaproteobacteria bacterium	0.0	5507.0	+	300.0	1259.0
97	96	Bacteria	unclassified	Pseudomonadota	Betaproteobacteria	Burkholderiales	Burkholderiaceae	Paraburkholderia	Paraburkholderia bryophila					
98	97	Bacteria	unclassified	Pseudomonadota	Gammaproteobacteria	Chromatiales	Sedimenticolaceae	Candidatus Thiodiazotropha	Candidatus Thiodiazotropha sp.	0.0	61981.0	-	21034.0	21981.0
99	98	Bacteria	unclassified	Pseudomonadota	Betaproteobacteria	Burkholderiales	Oxalobacteraceae		Oxalobacteraceae sp. CFBP 13730	0.0	56730.0	-	15756.0	16730.0
100	99	Bacteria	unclassified	Pseudomonadota	Gammaproteobacteria				Gammaproteobacteria bacterium	0.0	6602.0	+	2418.0	3377.0
101	100		unclassified						unidentified	0.0	34870.0	-	21664.0	22626.0
102	101	Bacteria	unclassified	Pseudomonadota	Gammaproteobacteria	Chromatiales	Ectothiorhodospiraceae	Spiribacter	Spiribacter salinus	0.0	8490.0	-	6204.0	7226.0
103	102	Bacteria	unclassified	Pseudomonadota	Betaproteobacteria	Burkholderiales	Burkholderiaceae	Paraburkholderia	Paraburkholderia sp. GAS82	229073.0	310044.0	-	269073.0	270044.0
104	103	Bacteria	unclassified	Pseudomonadota	Gammaproteobacteria	Lysobacterales	Rhodanobacteraceae	Rhodanobacter	Rhodanobacter terrae	3911.0	84867.0	-	43911.0	44867.0
105	104	Bacteria	unclassified	Pseudomonadota	Gammaproteobacteria	Pasteurellales	Pasteurellaceae	Pasteurella	Pasteurella multocida	0.0	862.0	+	267.0	862.0
106	105	Bacteria	unclassified	Pseudomonadota	Gammaproteobacteria	Lysobacterales	Lysobacteraceae	Stenotrophomonas	Stenotrophomonas maltophilia	0.0	43666.0	+	19522.0	20505.0
107	106	Bacteria	unclassified	Pseudomonadota	Betaproteobacteria	Burkholderiales	Burkholderiaceae	Ralstonia	Ralstonia sp. A12	110187.0	178664.0	-	150187.0	151233.0
108	107	Bacteria	unclassified	Pseudomonadota	Betaproteobacteria	Burkholderiales	Alcaligenaceae	Bordetella	Bordetella bronchiseptica	0.0	75646.0	-	34651.0	35646.0
109	108	Bacteria	unclassified	Pseudomonadota	Betaproteobacteria	Burkholderiales	Burkholderiaceae	Caballeronia	Caballeronia sordidicola	0.0	6157.0	-	491.0	1522.0
110	109	Bacteria	unclassified	Pseudomonadota	Gammaproteobacteria	Thiotrichales	Thiotrichaceae	Thiothrix	Thiothrix lacustris	34344.0	112232.0	+	74344.0	75282.0
111	110	Bacteria	unclassified	Pseudomonadota	Gammaproteobacteria	Thiotrichales	Thiotrichaceae	Thiothrix	Thiothrix lacustris	355370.0	436575.0	+	395370.0	396575.0
112	111	Bacteria	unclassified	Pseudomonadota	Betaproteobacteria	Nitrosomonadales	Nitrosomonadaceae	Nitrosomonas	Nitrosomonas sp.	0.0	47654.0	-	36817.0	37812.0
113	112	Bacteria	unclassified	Pseudomonadota	Betaproteobacteria	Nitrosomonadales	Gallionellaceae	Gallionella	Gallionella sp.	9247.0	90203.0	-	49247.0	50203.0
114	113	Bacteria	unclassified	Pseudomonadota	Gammaproteobacteria	Methylococcales	Methylococcaceae	Methylomonas	Methylomonas albis	2337055.0	2418233.0	-	2377055.0	2378233.0
115	114	Bacteria	unclassified	Bacteroidota	Sphingobacteriia	Sphingobacteriales	Sphingobacteriaceae	Pedobacter	Pedobacter sp.	0.0	33316.0	+	31049.0	32233.0
116	115	Bacteria	unclassified	Pseudomonadota	Betaproteobacteria	Burkholderiales	Alcaligenaceae		Alcaligenaceae bacterium	404242.0	454721.0	-	444242.0	445225.0
117	116	Bacteria	unclassified	Pseudomonadota	Betaproteobacteria	Burkholderiales	Alcaligenaceae	Allopusillimonas	Allopusillimonas ginsengisoli	191662.0	272645.0	-	231662.0	232645.0
118	117	Bacteria	unclassified	Pseudomonadota					Pseudomonadota bacterium	0.0	34683.0	+	32555.0	33595.0
119	118	Bacteria	unclassified	Pseudomonadota	Gammaproteobacteria	Vibrionales	Vibrionaceae	Vibrio	Vibrio metschnikovii	32811.0	113755.0	-	72811.0	73755.0
120	119	Bacteria	unclassified	Pseudomonadota					Pseudomonadota bacterium	0.0	43448.0	-	25304.0	26236.0
121	120	Bacteria	unclassified	Pseudomonadota	Betaproteobacteria	Burkholderiales	Alcaligenaceae	Bordetella	Bordetella avium	343973.0	424950.0	-	383973.0	384950.0
122	121	Bacteria	unclassified	Pseudomonadota	Betaproteobacteria	Nitrosomonadales			Gallionellales bacterium RIFCSPLOWO2_12_FULL_59_22	0.0	78610.0	-	37648.0	38610.0
123	122	Bacteria	unclassified	Pseudomonadota	Gammaproteobacteria	Pasteurellales	Pasteurellaceae	Pasteurella	Pasteurella multocida	974738.0	1055679.0	-	1014738.0	1015679.0
124	123	Bacteria	unclassified	Pseudomonadota	Gammaproteobacteria				Gammaproteobacteria bacterium	0.0	4004.0	-	19.0	939.0
125	124	Bacteria	unclassified	Pseudomonadota	Gammaproteobacteria	Lysobacterales	Lysobacteraceae	Luteimonas	Luteimonas sp. MC1782	1277881.0	1358861.0	+	1317881.0	1318861.0
126	125	Bacteria	unclassified	Pseudomonadota	Gammaproteobacteria	Oceanospirillales	Oceanospirillaceae	Oceanospirillum	Oceanospirillum beijerinckii	0.0	44469.0	+	39975.0	40919.0
127	126	Bacteria	unclassified	Pseudomonadota	Gammaproteobacteria	Vibrionales	Vibrionaceae	Enterovibrio	Enterovibrio norvegicus	0.0	50663.0	+	26655.0	27632.0
128	127	Bacteria	unclassified	Pseudomonadota	Betaproteobacteria	Burkholderiales	Burkholderiaceae	Burkholderia	Burkholderia gladioli	183984.0	265021.0	-	223984.0	225021.0
129	128	Bacteria	unclassified	Pseudomonadota	Gammaproteobacteria	Acidiferrobacterales	Acidiferrobacteraceae		Acidiferrobacteraceae bacterium	0.0	9205.0	-	2141.0	3088.0
130	129	Archaea	unclassified	Euryarchaeota	Candidatus Methanofastidiosia				Candidatus Methanofastidiosia archaeon	0.0	3439.0	+	1253.0	2248.0
131	130	Bacteria	unclassified	Acidobacteriota	Terriglobia	Bryobacterales	Bryobacteraceae		Bryobacteraceae bacterium					
132	131	Bacteria	unclassified	Pseudomonadota	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas	Pseudomonas aeruginosa	0.0	7656.0	-	1.0	632.0
133	132	Bacteria	unclassified	Pseudomonadota	Gammaproteobacteria	Lysobacterales			Lysobacterales bacterium	0.0	48154.0	+	7207.0	8154.0
134	133	Bacteria	unclassified	Pseudomonadota	Gammaproteobacteria				uncultured Gammaproteobacteria bacterium	0.0	1950.0	-	254.0	1141.0
135	134	Bacteria	unclassified	Pseudomonadota	Gammaproteobacteria	Methylococcales	Methylococcaceae	Methylomonas	Methylomonas methanica					
136	135	Bacteria	unclassified	Pseudomonadota	Gammaproteobacteria				Gammaproteobacteria bacterium	0.0	57444.0	-	16557.0	17444.0
137	136	Bacteria	unclassified	Pseudomonadota	Betaproteobacteria	Neisseriales	Neisseriaceae		Neisseriaceae bacterium	167104.0	244217.0	+	207104.0	208336.0
138	137	Bacteria	unclassified	Pseudomonadota	Gammaproteobacteria	Oceanospirillales	Alcanivoracaceae	Alloalcanivorax	Alloalcanivorax xenomutans	990374.0	1071333.0	-	1030374.0	1031333.0
139	138	Bacteria	unclassified	Pseudomonadota	Betaproteobacteria	Neisseriales	Neisseriaceae	Neisseria	Neisseria weaveri	1902428.0	1983402.0	+	1942428.0	1943402.0
140	139	Bacteria	unclassified	Pseudomonadota	Gammaproteobacteria	Oceanospirillales	Alcanivoracaceae	Marinicella	Marinicella sp.	0.0	8725.0	+	480.0	1436.0
141	140	Bacteria	unclassified	Pseudomonadota	Gammaproteobacteria	Pseudomonadales	Marinobacteraceae	Marinobacter	Marinobacter alkaliphilus	850384.0	931358.0	-	890384.0	891358.0
142	141	Bacteria	unclassified	Pseudomonadota	Gammaproteobacteria	Cellvibrionales	Halieaceae	Haliea	Haliea sp.	0.0	48809.0	-	7850.0	8809.0
143	142	Bacteria	unclassified	Pseudomonadota	Betaproteobacteria	Burkholderiales	Sphaerotilaceae	Roseateles	Paucibacter sediminis	216121.0	297281.0	-	256121.0	257281.0
144	143	Bacteria	unclassified	Pseudomonadota	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas	Pseudomonas sp. FP597	1775724.0	1856905.0	+	1815724.0	1816905.0
145	144	Bacteria	unclassified	Pseudomonadota	Gammaproteobacteria	Oceanospirillales	Oceanospirillaceae	Nitrincola	Nitrincola alkalilacustris	572582.0	617830.0	+	612582.0	613526.0
146	145	Bacteria	unclassified	Pseudomonadota	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas	Pseudomonas aeruginosa	2146290.0	2227249.0	-	2186290.0	2187249.0
147	146	Bacteria	unclassified	Pseudomonadota	Gammaproteobacteria	Lysobacterales	Lysobacteraceae	Xanthomonas	Xanthomonas sontii					
148	147	Bacteria	unclassified	Pseudomonadota					Pseudomonadota bacterium	0.0	8645.0	+	4961.0	5773.0
149	148	Bacteria	unclassified	Pseudomonadota	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas	Pseudomonas wadenswilerensis	1721151.0	1802332.0	+	1761151.0	1762332.0
150	149	Bacteria	unclassified	Acidobacteriota	Terriglobia	Bryobacterales	Solibacteraceae	Candidatus Sulfopaludibacter	Candidatus Sulfopaludibacter sp.	0.0	35230.0	+	33785.0	34714.0
151	150	Bacteria	unclassified	Pseudomonadota	Gammaproteobacteria	Enterobacterales	Yersiniaceae	Yersinia	Yersinia pseudotuberculosis					
